Store_Type,Transaction_ID,Customer_ID,Product_ID,Source_Price,Source_Currency,Item_Price_USD,Quantity,Line_Total_USD,Transaction_Date,Transaction_Time,Category,Country
,INV-500161,CUST-UK-16277,SC00025,10.14,GBP,15.21,21,319.41,2025-07-07,16:32,Product Z-25,France
,ORD-BR-00443,CUST-BR-0067,PROD-BR-029,267.4,BRL,53.48,1,53.48,2025-07-08,13:20,utilidades_domesticas,Brazil
,INV-500186,CUST-UK-13045,SC00037,19.78,GBP,14.16,9,127.44,2025-07-08,17:21,Product L-37,Germany
,INV-500473,CUST-UK-15849,SC00050,10.97,GBP,5.5,16,88.0,2025-07-08,20:12,Product Y-50,Germany
,ORD-BR-00049,CUST-BR-0067,PROD-BR-030,81.68,BRL,16.34,3,49.02,2025-07-09,12:52,eletronicos,Brazil
,INV-500490,CUST-UK-15956,SC00042,11.5,GBP,8.41,5,42.05,2025-07-09,13:29,Product Q-42,Germany
,INV-500027,CUST-UK-11543,SC00040,9.94,GBP,12.62,7,88.34,2025-07-09,16:05,Product O-40,United Kingdom
,INV-500160,CUST-UK-13427,SC00018,10.55,GBP,17.21,20,344.2,2025-07-09,21:12,Product S-18,France
,INV-500335,CUST-UK-12224,SC00046,17.83,GBP,25.2,12,302.4,2025-07-09,12:53,Product U-46,United Kingdom
,INV-500334,CUST-UK-13434,SC00024,12.67,GBP,28.71,18,516.78,2025-07-10,14:47,Product Y-24,United Kingdom
,ORD-BR-00444,CUST-BR-0071,PROD-BR-030,292.73,BRL,58.55,2,117.1,2025-07-11,20:13,alimentos,Brazil
,INV-500269,CUST-UK-16325,SC00020,4.09,GBP,15.93,24,382.32,2025-07-11,17:25,Product U-20,Spain
,ORD-BR-00455,CUST-BR-0038,PROD-BR-037,232.15,BRL,46.43,1,46.43,2025-07-11,21:45,utilidades_domesticas,Brazil
,ORD-BR-00361,CUST-BR-0004,PROD-BR-022,81.82,BRL,16.36,3,49.08,2025-07-12,15:22,utilidades_domesticas,Brazil
,INV-500431,CUST-UK-11485,SC00044,15.4,GBP,8.56,23,196.88,2025-07-12,18:47,Product S-44,Spain
,INV-500530,CUST-UK-11177,SC00009,18.14,GBP,17.78,8,142.24,2025-07-13,18:29,Product J-9,France
,ORD-BR-00103,CUST-BR-0080,PROD-BR-003,304.57,BRL,60.91,1,60.91,2025-07-13,13:28,alimentos,Brazil
,INV-500014,CUST-UK-17895,SC00032,12.81,GBP,16.27,11,178.97,2025-07-14,13:21,Product G-32,United Kingdom
,INV-500546,CUST-UK-15228,SC00033,10.81,GBP,24.17,2,48.34,2025-07-15,16:21,Product H-33,United Kingdom
,ORD-BR-00314,CUST-BR-0050,PROD-BR-017,68.06,BRL,13.61,1,13.61,2025-07-16,13:16,moda,Brazil
,INV-500537,CUST-UK-10017,SC00005,7.97,GBP,10.4,7,72.8,2025-07-16,17:41,Product F-5,Spain
,ORD-BR-00453,CUST-BR-0007,PROD-BR-037,111.73,BRL,22.35,1,22.35,2025-07-16,17:14,esportes,Brazil
,INV-500323,CUST-UK-16258,SC00015,22.61,GBP,8.47,16,135.52,2025-07-16,20:37,Product P-15,Germany
,ORD-BR-00226,CUST-BR-0021,PROD-BR-008,34.65,BRL,6.93,1,6.93,2025-07-18,18:15,moda,Brazil
,INV-500043,CUST-UK-16527,SC00040,13.05,GBP,16.57,5,82.85,2025-07-19,16:24,Product O-40,Germany
,ORD-BR-00333,CUST-BR-0013,PROD-BR-008,352.08,BRL,70.42,1,70.42,2025-07-19,15:28,eletronicos,Brazil
,INV-500531,CUST-UK-16082,SC00047,16.51,GBP,3.8,3,11.4,2025-07-19,13:32,Product V-47,France
,INV-500415,CUST-UK-13736,SC00039,5.49,GBP,9.35,17,158.95,2025-07-20,19:14,Product N-39,Spain
,ORD-BR-00390,CUST-BR-0040,PROD-BR-038,294.7,BRL,58.94,1,58.94,2025-07-20,00:10,esportes,Brazil
,ORD-BR-00237,CUST-BR-0020,PROD-BR-021,323.96,BRL,64.79,1,64.79,2025-07-20,16:59,moda,Brazil
,ORD-BR-00267,CUST-BR-0079,PROD-BR-034,188.86,BRL,37.77,2,75.54,2025-07-21,16:31,moda,Brazil
,INV-500094,CUST-UK-10444,SC00038,2.18,GBP,24.45,22,537.9,2025-07-22,20:43,Product M-38,Spain
,ORD-BR-00222,CUST-BR-0031,PROD-BR-007,186.44,BRL,37.29,3,111.87,2025-07-22,14:08,esportes,Brazil
,ORD-BR-00446,CUST-BR-0064,PROD-BR-033,128.41,BRL,25.68,2,51.36,2025-07-22,14:13,esportes,Brazil
,INV-500264,CUST-UK-11960,SC00010,1.16,GBP,31.19,7,218.33,2025-07-23,19:52,Product K-10,Spain
,INV-500261,CUST-UK-16936,SC00030,0.61,GBP,23.51,4,94.04,2025-07-23,13:05,Product E-30,Spain
,INV-500442,CUST-UK-16721,SC00017,2.48,GBP,16.12,24,386.88,2025-07-23,15:15,Product R-17,France
,INV-500533,CUST-UK-16384,SC00024,0.98,GBP,25.88,17,439.96,2025-07-23,14:50,Product Y-24,United Kingdom
,ORD-BR-00339,CUST-BR-0025,PROD-BR-038,395.34,BRL,79.07,1,79.07,2025-07-23,15:30,eletronicos,Brazil
,INV-500362,CUST-UK-16189,SC00041,15.17,GBP,23.11,3,69.33,2025-07-24,13:34,Product P-41,Spain
,ORD-BR-00245,CUST-BR-0033,PROD-BR-019,246.37,BRL,49.27,2,98.54,2025-07-24,18:46,eletronicos,Brazil
,INV-500163,CUST-UK-13680,SC00007,13.48,GBP,27.41,15,411.15,2025-07-24,15:06,Product H-7,United Kingdom
,INV-500300,CUST-UK-11601,SC00020,8.56,GBP,19.82,3,59.46,2025-07-24,14:44,Product U-20,Spain
,ORD-BR-00254,CUST-BR-0077,PROD-BR-006,164.08,BRL,32.82,2,65.64,2025-07-24,18:25,eletronicos,Brazil
,INV-500406,CUST-UK-13384,SC00024,12.16,GBP,26.64,23,612.72,2025-07-26,20:33,Product Y-24,France
,ORD-BR-00028,CUST-BR-0073,PROD-BR-013,213.26,BRL,42.65,3,127.95,2025-07-26,13:15,utilidades_domesticas,Brazil
,ORD-BR-00171,CUST-BR-0017,PROD-BR-040,22.69,BRL,4.54,1,4.54,2025-07-28,12:09,esportes,Brazil
,ORD-BR-00416,CUST-BR-0052,PROD-BR-015,355.56,BRL,71.11,1,71.11,2025-07-28,14:35,esportes,Brazil
,INV-500523,CUST-UK-15532,SC00016,8.19,GBP,25.82,6,154.92,2025-07-28,14:52,Product Q-16,Germany
,INV-500064,CUST-UK-14694,SC00037,17.85,GBP,22.67,8,181.36,2025-07-28,14:05,Product L-37,United Kingdom
,INV-500400,CUST-UK-12184,SC00018,4.87,GBP,15.09,5,75.45,2025-07-28,19:19,Product S-18,United Kingdom
,INV-500389,CUST-UK-13605,SC00003,11.88,GBP,2.53,19,48.07,2025-07-29,15:13,Product D-3,France
,ORD-BR-00317,CUST-BR-0065,PROD-BR-022,89.1,BRL,17.82,3,53.46,2025-07-29,19:43,moda,Brazil
,INV-500276,CUST-UK-12370,SC00029,14.13,GBP,3.61,8,28.88,2025-07-29,13:02,Product D-29,Germany
,ORD-BR-00359,CUST-BR-0013,PROD-BR-030,104.53,BRL,20.91,1,20.91,2025-07-29,12:07,esportes,Brazil
,INV-500302,CUST-UK-16909,SC00009,14.84,GBP,22.66,8,181.28,2025-07-29,20:07,Product J-9,United Kingdom
,ORD-BR-00411,CUST-BR-0008,PROD-BR-037,218.68,BRL,43.74,1,43.74,2025-07-29,21:46,alimentos,Brazil
,ORD-BR-00111,CUST-BR-0013,PROD-BR-013,334.56,BRL,66.91,1,66.91,2025-07-29,23:15,utilidades_domesticas,Brazil
,INV-500328,CUST-UK-12268,SC00050,14.33,GBP,18.14,22,399.08,2025-07-29,20:40,Product Y-50,Spain
,INV-500204,CUST-UK-16989,SC00011,0.68,GBP,13.7,18,246.6,2025-07-30,16:46,Product L-11,France
,ORD-BR-00216,CUST-BR-0059,PROD-BR-023,355.59,BRL,71.12,3,213.36,2025-07-30,21:27,esportes,Brazil
,ORD-BR-00095,CUST-BR-0036,PROD-BR-008,181.74,BRL,36.35,1,36.35,2025-07-30,00:21,eletronicos,Brazil
,ORD-BR-00001,CUST-BR-0036,PROD-BR-008,388.49,BRL,77.7,1,77.7,2025-07-30,22:27,utilidades_domesticas,Brazil
,ORD-BR-00255,CUST-BR-0068,PROD-BR-020,32.51,BRL,6.5,3,19.5,2025-07-31,20:47,eletronicos,Brazil
,ORD-BR-00227,CUST-BR-0053,PROD-BR-037,230.55,BRL,46.11,3,138.33,2025-07-31,00:03,eletronicos,Brazil
,ORD-BR-00205,CUST-BR-0043,PROD-BR-027,285.48,BRL,57.1,1,57.1,2025-07-31,23:13,eletronicos,Brazil
,ORD-BR-00005,CUST-BR-0006,PROD-BR-006,375.02,BRL,75.0,1,75.0,2025-07-31,19:41,esportes,Brazil
,INV-500443,CUST-UK-10113,SC00046,11.6,GBP,19.56,6,117.36,2025-07-31,15:53,Product U-46,Spain
,ORD-BR-00123,CUST-BR-0046,PROD-BR-016,320.37,BRL,64.07,2,128.14,2025-08-01,19:09,utilidades_domesticas,Brazil
,ORD-BR-00291,CUST-BR-0053,PROD-BR-035,373.06,BRL,74.61,2,149.22,2025-08-02,12:08,moda,Brazil
,ORD-BR-00438,CUST-BR-0036,PROD-BR-010,293.59,BRL,58.72,1,58.72,2025-08-04,17:56,alimentos,Brazil
,ORD-BR-00162,CUST-BR-0069,PROD-BR-040,16.96,BRL,3.39,3,10.17,2025-08-04,20:02,esportes,Brazil
,ORD-BR-00273,CUST-BR-0037,PROD-BR-021,119.5,BRL,23.9,2,47.8,2025-08-05,18:25,moda,Brazil
,ORD-BR-00284,CUST-BR-0059,PROD-BR-022,439.85,BRL,87.97,1,87.97,2025-08-05,13:29,alimentos,Brazil
,ORD-BR-00420,CUST-BR-0036,PROD-BR-020,396.35,BRL,79.27,1,79.27,2025-08-05,21:46,esportes,Brazil
,INV-500187,CUST-UK-11962,SC00010,14.9,GBP,2.31,19,43.89,2025-08-06,21:33,Product K-10,Spain
,ORD-BR-00187,CUST-BR-0040,PROD-BR-029,159.9,BRL,31.98,2,63.96,2025-08-07,18:05,esportes,Brazil
,INV-500565,CUST-UK-12844,SC00038,24.51,GBP,26.42,4,105.68,2025-08-07,18:10,Product M-38,Spain
,ORD-BR-00110,CUST-BR-0041,PROD-BR-031,339.16,BRL,67.83,2,135.66,2025-08-08,13:30,moda,Brazil
,ORD-BR-00166,CUST-BR-0071,PROD-BR-009,96.6,BRL,19.32,3,57.96,2025-08-08,15:21,alimentos,Brazil
,INV-500001,CUST-UK-13914,SC00038,4.24,GBP,5.38,17,91.46,2025-08-09,16:41,Product M-38,Spain
,ORD-BR-00336,CUST-BR-0065,PROD-BR-020,224.57,BRL,44.91,1,44.91,2025-08-09,13:11,esportes,Brazil
,INV-500541,CUST-UK-16629,SC00009,7.76,GBP,5.92,20,118.4,2025-08-10,16:19,Product J-9,United Kingdom
,ORD-BR-00396,CUST-BR-0026,PROD-BR-035,189.72,BRL,37.94,3,113.82,2025-08-10,22:58,eletronicos,Brazil
,INV-500265,CUST-UK-15183,SC00005,14.1,GBP,19.33,6,115.98,2025-08-10,21:44,Product F-5,Spain
,ORD-BR-00414,CUST-BR-0011,PROD-BR-027,425.55,BRL,85.11,2,170.22,2025-08-10,15:05,esportes,Brazil
,ORD-BR-00040,CUST-BR-0053,PROD-BR-025,331.24,BRL,66.25,3,198.75,2025-08-10,15:03,alimentos,Brazil
,ORD-BR-00063,CUST-BR-0035,PROD-BR-030,298.59,BRL,59.72,3,179.16,2025-08-10,16:43,esportes,Brazil
,INV-500205,CUST-UK-10479,SC00020,17.26,GBP,31.66,15,474.9,2025-08-12,16:14,Product U-20,France
,INV-500347,CUST-UK-11475,SC00015,20.4,GBP,24.14,22,531.08,2025-08-12,21:03,Product P-15,United Kingdom
,INV-500016,CUST-UK-17294,SC00007,13.5,GBP,17.14,21,359.94,2025-08-13,15:13,Product H-7,Spain
,ORD-BR-00338,CUST-BR-0010,PROD-BR-013,360.72,BRL,72.14,1,72.14,2025-08-13,16:56,utilidades_domesticas,Brazil
,INV-500059,CUST-UK-14061,SC00037,21.8,GBP,27.69,1,27.69,2025-08-13,19:33,Product L-37,France
,ORD-BR-00440,CUST-BR-0078,PROD-BR-004,407.76,BRL,81.55,3,244.65,2025-08-13,13:04,eletronicos,Brazil
,INV-500448,CUST-UK-17159,SC00029,18.17,GBP,3.44,11,37.84,2025-08-14,19:47,Product D-29,Germany
,ORD-BR-00119,CUST-BR-0011,PROD-BR-013,135.96,BRL,27.19,1,27.19,2025-08-14,13:46,esportes,Brazil
,ORD-BR-00494,CUST-BR-0030,PROD-BR-036,91.04,BRL,18.21,2,36.42,2025-08-14,20:50,eletronicos,Brazil
,INV-500013,CUST-UK-17563,SC00025,12.85,GBP,16.32,18,293.76,2025-08-14,13:52,Product Z-25,Germany
,INV-500418,CUST-UK-11814,SC00003,24.37,GBP,15.44,18,277.92,2025-08-14,15:36,Product D-3,France
,ORD-BR-00089,CUST-BR-0046,PROD-BR-034,217.7,BRL,43.54,3,130.62,2025-08-14,18:49,esportes,Brazil
,INV-500411,CUST-UK-12221,SC00021,10.08,GBP,6.18,13,80.34,2025-08-14,13:05,Product V-21,United Kingdom
,ORD-BR-00346,CUST-BR-0003,PROD-BR-022,247.55,BRL,49.51,2,99.02,2025-08-15,17:10,utilidades_domesticas,Brazil
,INV-500295,CUST-UK-11784,SC00022,7.24,GBP,11.61,14,162.54,2025-08-16,15:51,Product W-22,United Kingdom
,ORD-BR-00487,CUST-BR-0075,PROD-BR-015,102.59,BRL,20.52,2,41.04,2025-08-17,22:22,utilidades_domesticas,Brazil
,INV-500242,CUST-UK-13121,SC00045,21.33,GBP,14.52,21,304.92,2025-08-17,14:58,Product T-45,France
,ORD-BR-00097,CUST-BR-0079,PROD-BR-022,327.23,BRL,65.45,3,196.35,2025-08-17,16:27,utilidades_domesticas,Brazil
,ORD-BR-00500,CUST-BR-0027,PROD-BR-018,382.88,BRL,76.58,3,229.74,2025-08-18,15:19,utilidades_domesticas,Brazil
,ORD-BR-00031,CUST-BR-0052,PROD-BR-015,51.73,BRL,10.35,3,31.05,2025-08-18,18:54,utilidades_domesticas,Brazil
,ORD-BR-00042,CUST-BR-0030,PROD-BR-021,375.96,BRL,75.19,2,150.38,2025-08-18,19:21,utilidades_domesticas,Brazil
,ORD-BR-00407,CUST-BR-0060,PROD-BR-005,176.62,BRL,35.32,1,35.32,2025-08-18,17:08,moda,Brazil
,ORD-BR-00091,CUST-BR-0010,PROD-BR-035,65.94,BRL,13.19,3,39.57,2025-08-18,00:38,eletronicos,Brazil
,INV-500303,CUST-UK-12642,SC00042,16.36,GBP,13.28,17,225.76,2025-08-18,20:21,Product Q-42,Spain
,INV-500293,CUST-UK-10099,SC00019,17.84,GBP,1.68,8,13.44,2025-08-18,15:45,Product T-19,France
,INV-500368,CUST-UK-11765,SC00001,1.9,GBP,21.04,11,231.44,2025-08-19,15:03,Product B-1,France
,INV-500272,CUST-UK-12361,SC00019,5.27,GBP,1.47,20,29.4,2025-08-19,14:22,Product T-19,United Kingdom
,INV-500373,CUST-UK-15902,SC00025,10.93,GBP,19.27,2,38.54,2025-08-19,14:00,Product Z-25,Spain
,INV-500416,CUST-UK-11654,SC00011,10.6,GBP,20.17,3,60.51,2025-08-19,19:36,Product L-11,Spain
,ORD-BR-00058,CUST-BR-0009,PROD-BR-004,76.05,BRL,15.21,3,45.63,2025-08-20,20:38,utilidades_domesticas,Brazil
,INV-500070,CUST-UK-14923,SC00044,12.66,GBP,16.08,5,80.4,2025-08-20,15:05,Product S-44,Germany
,ORD-BR-00362,CUST-BR-0046,PROD-BR-032,411.92,BRL,82.38,1,82.38,2025-08-21,13:57,alimentos,Brazil
,INV-500479,CUST-UK-10568,SC00023,5.58,GBP,9.82,1,9.82,2025-08-21,18:08,Product X-23,France
,INV-500086,CUST-UK-12745,SC00049,15.01,GBP,31.36,18,564.48,2025-08-21,17:49,Product X-49,Germany
,INV-500254,CUST-UK-10539,SC00023,18.51,GBP,9.12,20,182.4,2025-08-22,14:33,Product X-23,Germany
,INV-500390,CUST-UK-11892,SC00013,23.23,GBP,23.48,7,164.36,2025-08-22,18:08,Product N-13,United Kingdom
,INV-500241,CUST-UK-11642,SC00040,13.9,GBP,14.39,23,330.97,2025-08-22,20:01,Product O-40,Spain
,INV-500596,CUST-UK-10194,SC00050,9.02,GBP,15.16,18,272.88,2025-08-22,20:14,Product Y-50,Germany
,ORD-BR-00186,CUST-BR-0009,PROD-BR-017,390.3,BRL,78.06,1,78.06,2025-08-22,12:06,eletronicos,Brazil
,ORD-BR-00193,CUST-BR-0050,PROD-BR-036,120.11,BRL,24.02,1,24.02,2025-08-22,13:30,eletronicos,Brazil
,ORD-BR-00121,CUST-BR-0018,PROD-BR-028,270.91,BRL,54.18,2,108.36,2025-08-22,17:38,eletronicos,Brazil
,INV-500477,CUST-UK-13480,SC00011,6.62,GBP,24.43,19,464.17,2025-08-22,13:28,Product L-11,France
,ORD-BR-00282,CUST-BR-0045,PROD-BR-005,232.83,BRL,46.57,1,46.57,2025-08-23,17:18,alimentos,Brazil
,ORD-BR-00035,CUST-BR-0039,PROD-BR-023,355.49,BRL,71.1,1,71.1,2025-08-23,00:13,eletronicos,Brazil
,INV-500547,CUST-UK-17754,SC00003,4.21,GBP,1.24,6,7.44,2025-08-24,20:34,Product D-3,United Kingdom
,ORD-BR-00118,CUST-BR-0041,PROD-BR-016,190.75,BRL,38.15,3,114.45,2025-08-24,13:16,eletronicos,Brazil
,INV-500355,CUST-UK-13506,SC00006,3.69,GBP,17.84,6,107.04,2025-08-25,14:03,Product G-6,United Kingdom
,INV-500210,CUST-UK-15196,SC00018,23.96,GBP,21.92,8,175.36,2025-08-25,14:28,Product S-18,Spain
,INV-500256,CUST-UK-10369,SC00010,8.63,GBP,6.57,3,19.71,2025-08-26,21:08,Product K-10,France
,ORD-BR-00305,CUST-BR-0046,PROD-BR-022,309.34,BRL,61.87,3,185.61,2025-08-26,16:15,moda,Brazil
,ORD-BR-00297,CUST-BR-0066,PROD-BR-001,188.35,BRL,37.67,3,113.01,2025-08-26,13:51,alimentos,Brazil
,INV-500428,CUST-UK-15216,SC00024,22.79,GBP,13.46,20,269.2,2025-08-26,14:37,Product Y-24,Spain
,INV-500402,CUST-UK-11772,SC00026,14.32,GBP,8.37,14,117.18,2025-08-27,14:47,Product A-26,Spain
,ORD-BR-00006,CUST-BR-0029,PROD-BR-028,437.25,BRL,87.45,2,174.9,2025-08-27,21:30,utilidades_domesticas,Brazil
,ORD-BR-00288,CUST-BR-0072,PROD-BR-010,77.6,BRL,15.52,2,31.04,2025-08-27,18:02,eletronicos,Brazil
,INV-500042,CUST-UK-12081,SC00006,18.17,GBP,23.08,3,69.24,2025-08-27,21:44,Product G-6,Spain
,INV-500166,CUST-UK-10280,SC00015,6.02,GBP,12.88,12,154.56,2025-08-28,15:32,Product P-15,Spain
,ORD-BR-00382,CUST-BR-0015,PROD-BR-023,170.59,BRL,34.12,3,102.36,2025-08-28,21:38,moda,Brazil
,ORD-BR-00150,CUST-BR-0051,PROD-BR-016,442.09,BRL,88.42,3,265.26,2025-08-28,21:20,esportes,Brazil
,ORD-BR-00180,CUST-BR-0009,PROD-BR-017,299.02,BRL,59.8,1,59.8,2025-08-29,19:07,esportes,Brazil
,INV-500459,CUST-UK-15561,SC00032,4.93,GBP,17.69,18,318.42,2025-08-29,14:43,Product G-32,United Kingdom
,ORD-BR-00408,CUST-BR-0033,PROD-BR-032,223.55,BRL,44.71,3,134.13,2025-08-29,14:22,utilidades_domesticas,Brazil
,ORD-BR-00412,CUST-BR-0038,PROD-BR-006,140.9,BRL,28.18,1,28.18,2025-08-30,14:12,eletronicos,Brazil
,ORD-BR-00388,CUST-BR-0022,PROD-BR-013,71.94,BRL,14.39,1,14.39,2025-08-30,15:59,eletronicos,Brazil
,ORD-BR-00471,CUST-BR-0051,PROD-BR-026,192.62,BRL,38.52,3,115.56,2025-08-30,18:22,esportes,Brazil
,INV-500170,CUST-UK-16531,SC00021,21.11,GBP,7.05,11,77.55,2025-08-30,14:34,Product V-21,Spain
,INV-500271,CUST-UK-16494,SC00004,17.54,GBP,27.52,13,357.76,2025-08-30,12:52,Product E-4,France
,INV-500312,CUST-UK-17003,SC00007,6.67,GBP,18.85,20,377.0,2025-08-30,19:39,Product H-7,United Kingdom
,ORD-BR-00096,CUST-BR-0075,PROD-BR-015,354.43,BRL,70.89,2,141.78,2025-08-31,19:44,utilidades_domesticas,Brazil
,INV-500025,CUST-UK-10112,SC00021,6.98,GBP,8.86,9,79.74,2025-08-31,17:25,Product V-21,Spain
,INV-500509,CUST-UK-10599,SC00030,20.33,GBP,1.65,5,8.25,2025-08-31,21:21,Product E-30,United Kingdom
,INV-500329,CUST-UK-16706,SC00033,17.65,GBP,3.0,2,6.0,2025-09-01,18:42,Product H-33,Spain
,INV-500468,CUST-UK-12517,SC00009,13.21,GBP,27.08,18,487.44,2025-09-01,17:17,Product J-9,France
,ORD-BR-00299,CUST-BR-0079,PROD-BR-027,394.69,BRL,78.94,2,157.88,2025-09-02,23:45,esportes,Brazil
,ORD-BR-00242,CUST-BR-0039,PROD-BR-037,429.64,BRL,85.93,1,85.93,2025-09-02,23:54,alimentos,Brazil
,ORD-BR-00367,CUST-BR-0054,PROD-BR-018,204.12,BRL,40.82,3,122.46,2025-09-03,19:59,esportes,Brazil
,INV-500002,CUST-UK-11679,SC00010,3.92,GBP,4.98,2,9.96,2025-09-04,18:56,Product K-10,Spain
,INV-500280,CUST-UK-16721,SC00007,12.19,GBP,6.69,17,113.73,2025-09-04,14:35,Product H-7,France
,INV-500398,CUST-UK-10951,SC00050,14.28,GBP,22.95,1,22.95,2025-09-04,13:39,Product Y-50,United Kingdom
,ORD-BR-00442,CUST-BR-0006,PROD-BR-037,445.57,BRL,89.11,1,89.11,2025-09-04,13:11,alimentos,Brazil
,ORD-BR-00169,CUST-BR-0057,PROD-BR-011,273.92,BRL,54.78,1,54.78,2025-09-04,00:39,moda,Brazil
,ORD-BR-00490,CUST-BR-0007,PROD-BR-019,384.66,BRL,76.93,1,76.93,2025-09-05,19:35,esportes,Brazil
,ORD-BR-00140,CUST-BR-0040,PROD-BR-004,270.1,BRL,54.02,3,162.06,2025-09-06,15:00,alimentos,Brazil
,ORD-BR-00375,CUST-BR-0051,PROD-BR-019,166.24,BRL,33.25,2,66.5,2025-09-06,23:34,eletronicos,Brazil
,ORD-BR-00395,CUST-BR-0068,PROD-BR-020,447.75,BRL,89.55,3,268.65,2025-09-07,21:53,utilidades_domesticas,Brazil
,ORD-BR-00125,CUST-BR-0051,PROD-BR-007,171.89,BRL,34.38,3,103.14,2025-09-07,17:20,utilidades_domesticas,Brazil
,INV-500141,CUST-UK-13715,SC00002,20.66,GBP,27.94,6,167.64,2025-09-07,16:39,Product C-2,Germany
,INV-500341,CUST-UK-11826,SC00015,4.28,GBP,7.12,15,106.8,2025-09-08,19:01,Product P-15,Spain
,ORD-BR-00344,CUST-BR-0065,PROD-BR-028,438.87,BRL,87.77,1,87.77,2025-09-08,17:02,alimentos,Brazil
,INV-500505,CUST-UK-11692,SC00026,10.42,GBP,4.17,3,12.51,2025-09-09,19:30,Product A-26,Germany
,INV-500029,CUST-UK-17926,SC00015,12.85,GBP,16.32,15,244.8,2025-09-09,15:33,Product P-15,United Kingdom
,ORD-BR-00002,CUST-BR-0079,PROD-BR-018,346.1,BRL,69.22,3,207.66,2025-09-09,13:20,eletronicos,Brazil
